knowninhib_name,knowninhib_smiles,genmol_name,genmol_smiles,simil,cinfony-simil
AT-9283,O=C(NC1=CNN/C1=C1/N=c2ccc(CN3CCOCC3)cc2=N1)NC1CC1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.068,0.12807881773399016
BX-795,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.036,0.1073170731707317
GSK2334470,CNc1nc(-c2ccc3c(N)n[nH]c3c2)cc(N2C[C@@H](C(=O)NC3CCCCC3)CC[C@H]2C)n1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.083,0.14736842105263157
AMG-900,Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.018,0.11428571428571428
MK-5108,O=C(O)C1(Cc2cccc(Nc3nccs3)n2)CCC(Oc2cccc(Cl)c2F)CC1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.038,0.14953271028037382
compound 25 [PMID: 20855207],Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc([C@@H](C)N3C[C@H](C)O[C@H](C)C3)ns2)n1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.071,0.1277533039647577
compound 1 [PMID: 21742770],COc1ccc(-n2ncc3ccc(Nc4ccc(N5CCN(C)CC5)c(OC)c4)nc32)cc1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.026,0.109375
ZM447439,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.055,0.16091954022988506
hesperadin,CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.045,0.10849056603773585
compound 46 [PMID: 16451062],COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)ncnc2cc1OCCCN1CCC(CO)CC1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.061,0.15879828326180256
GSK1070916,CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.037,0.10096153846153846
compound 10 [PMID: 19402633],CCN1CCN(C(=O)Cc2ccc(Nc3ncc(F)c(Nc4ccc(C(=O)Nc5ccccc5Cl)cc4)n3)cc2)CC1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.042,0.09090909090909091
compound 38 [PMID: 20817473],O=C(Nc1n[nH]c2cc(C(=O)N[C@H](CN3CCCC3)c3ccccc3)sc12)c1ccc(N2CCOCC2)cc1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.048,0.13191489361702127
dubermatinib,CN1CCN(Cc2ccc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)N(C)C)n3)cc2)CC1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.039,0.06382978723404255
SNS-314,O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.045,0.08733624454148471
ilorasertib,Nc1ncc(-c2cnn(CCO)c2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.037,0.12735849056603774
cenisertib,Cc1cc(Nc2ncc(F)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)ccc1N1CCN(C)CC1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.057,0.13978494623655913
GSK2646264,COc1cccc(OCc2cc(C)ccn2)c1C1=CC2CCNCCC2C=C1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.055,0.14361702127659576
TAK-632,N#Cc1c(Oc2ccc(F)c(NC(=O)Cc3cccc(C(F)(F)F)c3)c2)ccc2nc(NC(=O)C3CC3)sc12,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.041,0.12605042016806722
ibcasertib,COc1ccc2c(Oc3ccc4c(C(=O)Nc5ccccc5N)cccc4c3)ccnc2c1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.032,0.11194029850746269
NIK inhibitor 12f,CC(O)(C#Cc1ccc(N2CCOCC2)c(Nc2ncnc3[nH]ccc23)c1)c1nccs1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.049,0.10648148148148148
XMD-12,CN1C(=O)c2ccccc2N(C)c2nc(Nc3ccc(N4CCC(O)CC4)cc3)ncc21,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.047,0.1694915254237288
tinengotinib,Cc1n[nH]c2c1N=C(c1ccccc1Cl)c1cnc(N3CCOCC3)cc1N2,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.054,0.08097165991902834
VIC 1911,Cc1cc(Nc2nc(CC3(C(=O)O)CCN(C(=O)c4cccc(Cl)c4Cl)CC3)ccc2F)n[nH]1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.037,0.13901345291479822
barasertib-hQPA,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)n[nH]3)ncnc2c1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.056,0.08878504672897196
KW-2449,O=C(c1ccc(/C=C/c2[nH]nc3ccccc23)cc1)N1CCNCC1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.043,0.09271523178807947
MLN-8054,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.034,0.05172413793103448
tozasertib,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)[nH]n1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.056,0.1076923076923077
aurora kinase inhibitor II,COc1cc2ncnc(Nc3ccc(NC(=O)c4ccccc4)cc3)c2cc1OC,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.036,0.05389221556886228
JNJ-7706621,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.031,0.052083333333333336
Cdk2 inhibitor IV,CCN(CC)C(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.051,0.07772020725388601
SU6656,CN(C)S(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.062,0.06995884773662552
barasertib,CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.054,0.08333333333333333
danusertib,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.033,0.1145374449339207
AT-9283,O=C(NC1=CNN/C1=C1/N=c2ccc(CN3CCOCC3)cc2=N1)NC1CC1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.064,0.08018867924528301
BX-795,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.048,0.1073170731707317
GSK2334470,CNc1nc(-c2ccc3c(N)n[nH]c3c2)cc(N2C[C@@H](C(=O)NC3CCCCC3)CC[C@H]2C)n1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.059,0.12953367875647667
AMG-900,Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.021,0.07480314960629922
MK-5108,O=C(O)C1(Cc2cccc(Nc3nccs3)n2)CCC(Oc2cccc(Cl)c2F)CC1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.05,0.09333333333333334
compound 25 [PMID: 20855207],Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc([C@@H](C)N3C[C@H](C)O[C@H](C)C3)ns2)n1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.038,0.0847457627118644
compound 1 [PMID: 21742770],COc1ccc(-n2ncc3ccc(Nc4ccc(N5CCN(C)CC5)c(OC)c4)nc32)cc1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.034,0.065
ZM447439,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.053,0.06878306878306878
hesperadin,CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.056,0.12440191387559808
compound 46 [PMID: 16451062],COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)ncnc2cc1OCCCN1CCC(CO)CC1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.059,0.10655737704918032
GSK1070916,CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.043,0.07511737089201878
compound 10 [PMID: 19402633],CCN1CCN(C(=O)Cc2ccc(Nc3ncc(F)c(Nc4ccc(C(=O)Nc5ccccc5Cl)cc4)n3)cc2)CC1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.042,0.06806282722513089
compound 38 [PMID: 20817473],O=C(Nc1n[nH]c2cc(C(=O)N[C@H](CN3CCCC3)c3ccccc3)sc12)c1ccc(N2CCOCC2)cc1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.031,0.11297071129707113
dubermatinib,CN1CCN(Cc2ccc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)N(C)C)n3)cc2)CC1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.051,0.05263157894736842
SNS-314,O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.027,0.08260869565217391
ilorasertib,Nc1ncc(-c2cnn(CCO)c2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.032,0.06696428571428571
cenisertib,Cc1cc(Nc2ncc(F)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)ccc1N1CCN(C)CC1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.055,0.2254335260115607
GSK2646264,COc1cccc(OCc2cc(C)ccn2)c1C1=CC2CCNCCC2C=C1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.053,0.20786516853932585
TAK-632,N#Cc1c(Oc2ccc(F)c(NC(=O)Cc3cccc(C(F)(F)F)c3)c2)ccc2nc(NC(=O)C3CC3)sc12,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.041,0.102880658436214
ibcasertib,COc1ccc2c(Oc3ccc4c(C(=O)Nc5ccccc5N)cccc4c3)ccnc2c1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.022,0.07194244604316546
NIK inhibitor 12f,CC(O)(C#Cc1ccc(N2CCOCC2)c(Nc2ncnc3[nH]ccc23)c1)c1nccs1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.059,0.05752212389380531
XMD-12,CN1C(=O)c2ccccc2N(C)c2nc(Nc3ccc(N4CCC(O)CC4)cc3)ncc21,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.046,0.10106382978723404
tinengotinib,Cc1n[nH]c2c1N=C(c1ccccc1Cl)c1cnc(N3CCOCC3)cc1N2,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.058,0.06374501992031872
VIC 1911,Cc1cc(Nc2nc(CC3(C(=O)O)CCN(C(=O)c4cccc(Cl)c4Cl)CC3)ccc2F)n[nH]1,4af3_76_ligand.sdf,C=C1C2CCC2CC2C3C=CC(C3CCC3C4C(CC56CC57C(C)C67)[Al]4C4C5C(C)CC354)C3C(C)NC4C1C41CC231,0.055,0.13901345291479822
barasertib-hQPA,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)n[nH]3)ncnc2c1,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.038,0.0893854748603352
KW-2449,O=C(c1ccc(/C=C/c2[nH]nc3ccccc23)cc1)N1CCNCC1,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.031,0.07627118644067797
MLN-8054,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.036,0.061855670103092786
tozasertib,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)[nH]n1,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.045,0.09876543209876543
aurora kinase inhibitor II,COc1cc2ncnc(Nc3ccc(NC(=O)c4ccccc4)cc3)c2cc1OC,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.02,0.06976744186046512
JNJ-7706621,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.011,0.07894736842105263
Cdk2 inhibitor IV,CCN(CC)C(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.065,0.1111111111111111
SU6656,CN(C)S(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.052,0.07246376811594203
barasertib,CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.029,0.08290155440414508
danusertib,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.054,0.075
AT-9283,O=C(NC1=CNN/C1=C1/N=c2ccc(CN3CCOCC3)cc2=N1)NC1CC1,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.046,0.07909604519774012
BX-795,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.024,0.09883720930232558
GSK2334470,CNc1nc(-c2ccc3c(N)n[nH]c3c2)cc(N2C[C@@H](C(=O)NC3CCCCC3)CC[C@H]2C)n1,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.059,0.13924050632911392
AMG-900,Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.008,0.0730593607305936
MK-5108,O=C(O)C1(Cc2cccc(Nc3nccs3)n2)CCC(Oc2cccc(Cl)c2F)CC1,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.044,0.10638297872340426
compound 25 [PMID: 20855207],Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc([C@@H](C)N3C[C@H](C)O[C@H](C)C3)ns2)n1,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.07,0.07920792079207921
compound 1 [PMID: 21742770],COc1ccc(-n2ncc3ccc(Nc4ccc(N5CCN(C)CC5)c(OC)c4)nc32)cc1,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.027,0.10062893081761007
ZM447439,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.041,0.09333333333333334
hesperadin,CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.053,0.09444444444444444
compound 46 [PMID: 16451062],COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)ncnc2cc1OCCCN1CCC(CO)CC1,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.05,0.0995260663507109
GSK1070916,CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.033,0.09770114942528736
compound 10 [PMID: 19402633],CCN1CCN(C(=O)Cc2ccc(Nc3ncc(F)c(Nc4ccc(C(=O)Nc5ccccc5Cl)cc4)n3)cc2)CC1,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.04,0.07792207792207792
compound 38 [PMID: 20817473],O=C(Nc1n[nH]c2cc(C(=O)N[C@H](CN3CCCC3)c3ccccc3)sc12)c1ccc(N2CCOCC2)cc1,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.04,0.09090909090909091
dubermatinib,CN1CCN(Cc2ccc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)N(C)C)n3)cc2)CC1,4af3_16_ligand.sdf,CC(CO)CC1(C)CC1C1NC1C,0.045,0.05194805194805195
